AddressID,street,city,state,zip,latitude,longitude,first_name,last_name,phone,email,bedroom,squarefootage,price
1,123 Elm Street,San Francisco,CA,94101,37.7749,-122.4194,,,,,,,"$2,362.00"
2,456 Oak Avenue,Oakland,CA,94607,37.8044,-122.2712,,,,,,,"$2,467.00"
3,789 Maple Drive,Berkeley,CA,94704,37.8715,-122.273,,,,,,,"$2,450.00"
4,101 Pine Lane,San Jose,CA,95112,37.3382,-121.8863,,,,,,,"$2,499.00"
5,202 Cedar Road,Palo Alto,CA,94301,37.4419,-122.143,,,,,,,"$3,799.00"
6,303 Birch Boulevard,Daly City,CA,94014,37.6879,-122.4702,,,,,,,"$2,728.00"
7,404 Spruce Street,Mountain View,CA,94040,37.3861,-122.0839,,,,,,,"$2,210.00"
8,505 Willow Way,Sunnyvale,CA,94085,37.3688,-122.0363,,,,,,,"$2,995.00"
9,606 Ash Court,Santa Clara,CA,95050,37.3541,-121.9552,,,,,,,"$2,070.00"
10,707 Redwood Road,Fremont,CA,94536,37.5483,-121.9886,,,,,,,"$2,775.00"
11,808 Cypress Street,Hayward,CA,94541,37.6688,-122.0814,,,,,,,"$3,300.00"
12,909 Fir Avenue,Alameda,CA,94501,37.7652,-122.2416,,,,,,,"$3,095.00"
13,111 Poplar Drive,Redwood City,CA,94061,37.4852,-122.2364,,,,,,,"$6,500.00"
14,222 Palm Lane,San Mateo,CA,94401,37.563,-122.3255,,,,,,,"$1,598.00"
15,333 Alder Road,Burlingame,CA,94010,37.5841,-122.3661,,,,,,,"$3,165.00"
16,444 Dogwood Street,Menlo Park,CA,94025,37.453,-122.1817,,,,,,,"$1,150.00"
17,555 Hickory Avenue,Cupertino,CA,95014,37.3229,-122.0322,,,,,,,"$3,000.00"
18,666 Magnolia Drive,Milpitas,CA,95035,37.4323,-121.8996,,,,,,,"$2,915.00"
19,777 Chestnut Lane,Union City,CA,94587,37.5934,-122.0438,,,,,,,"$2,799.00"
20,888 Acacia Court,Livermore,CA,94550,37.6819,-121.768,,,,,,,"$3,661.00"
21,999 Juniper Road,Pleasanton,CA,94566,37.6624,-121.8747,,,,,,,"$1,650.00"
22,1210 Laurel Street,Dublin,CA,94568,37.7022,-121.9358,,,,,,,"$1,845.00"
23,1311 Bay Road,San Leandro,CA,94577,37.7249,-122.1561,,,,,,,"$2,992.00"
